start 1000000 sorting
1514	312	328	218	203
1435	296	297	188	187
1482	312	296	187	187
1435	297	312	187	187
1498	312	328	187	203
1528	297	296	187	187
1482	343	343	219	234
1700	343	328	218	203
1607	312	343	218	203
1591	359	390	218	219
start 2000000 sorting
4274	936	999	546	546
5725	920	936	546	593
5866	920	921	530	562
5523	904	921	561	546
4088	624	624	390	406
3261	749	624	405	421
3385	624	609	390	390
3167	608	624	406	390
3167	624	608	390	390
3213	640	624	405	390
start 3000000 sorting
5226	952	936	608	593
5241	936	951	625	608
5055	951	952	608	624
5085	968	951	608	733
6817	1185	1202	748	749
6771	1232	1186	733	733
6739	1264	1201	733	733
6848	1217	1201	749	733
6818	1216	1217	733	734
6786	1217	1185	733	734
start 4000000 sorting
9158	1263	1264	796	795
7052	1279	1279	827	827
7098	1279	1279	812	811
6911	1279	1280	811	812
6926	1264	1264	811	858
7972	1279	1279	811	811
6988	1342	1341	811	827
6942	1279	1279	812	826
6911	1279	1279	811	812
6926	1279	1280	811	811
start 5000000 sorting
8955	1607	1622	1030	1029
9095	1685	1779	1139	1076
9859	1622	1622	1045	1046
10015	1669	1638	1045	1061
9017	1622	1623	1045	1029
9002	1607	1622	1030	1029
9110	1654	1653	1077	1060
9158	1638	1669	1045	1061
9220	1653	1654	1045	1045
8986	1622	1716	1088	1124
start 6000000 sorting
12605	2062	2040	1287	1295
11840	2013	1996	1264	1264
11123	1981	1950	1248	1248
11372	2013	1996	1280	1294
11373	2028	1996	1280	1264
11710	2035	2028	1294	1280
11669	2013	2013	1295	1279
11622	2059	2044	1294	1311
11669	1997	2028	1279	1279
11529	2028	1996	1295	1295
start 7000000 sorting
13806	2355	2371	1513	1529
13962	2371	2371	1545	1544
13525	2324	2309	1482	1466
13510	2355	2371	1498	1482
13494	2372	2355	1513	1513
13275	2309	2309	1466	1466
13276	2324	2356	1482	1528
13556	2372	2371	1514	1513
13494	2371	2356	1514	1513
13495	2308	2293	1482	1482
start 8000000 sorting
15647	2652	2652	1731	1763
15694	2699	2636	1701	1701
15554	2714	2730	1732	1731
15522	2637	2652	1701	1684
15506	2730	2730	1748	1762
15647	2715	2714	1747	1732
15366	2652	2652	1685	1685
15304	2652	2636	1685	1700
15398	2652	2699	1731	1747
15569	2699	2714	1732	1747
start 9000000 sorting
17878	3089	3089	1950	1950
17597	3011	2995	1903	1918
17503	2996	2995	1919	1919
17457	3011	2995	1919	1919
17425	2996	2995	1935	1934
17425	2979	2995	2012	1950
17878	3073	3089	1981	1966
17799	3089	3073	1966	1934
17799	3073	3074	1950	1950
17816	3073	3074	1997	1997
